token_id,end_time,block_number,transaction_hash,log_index,block_time_utc
590,1768005487,40607920,0xe1e08a04a95c2c587bdbe046a715764d45f005eb66302227bf869412983300a8,265,2026-01-10T00:33:07Z
590,1768005499,40607926,0x1abeb87f6ed9bc81d3df14d0a920a572fc7552bf1399700814d3b645ca1db6bd,32,2026-01-10T00:33:19Z
590,1768005789,40608071,0x1bfd3e67e9bdbd5438f7028740d75c3013ef8ffa23db6ef3d99f780ac39c1728,1207,2026-01-10T00:38:09Z
590,1768005799,40608076,0xe3f96d4636c478d26772e195cbb29fd302856c1b54e6b14fcf4e9375f678f8fa,184,2026-01-10T00:38:19Z
591,1768092455,40651404,0x9826ab5e682478537c6e877c5b221806a59d80b12e7d29950d60fcc8266465fe,656,2026-01-11T00:42:35Z
591,1768092595,40651474,0x74d9c143d37aa7c479d383df7b55cc918c8c8064a54c8e3eede41932790bc231,845,2026-01-11T00:44:55Z
591,1768092771,40651562,0x268489677a60f522a1f1ca2557a834fb0ef8738cab489232b8367dbf2e8f0942,531,2026-01-11T00:47:51Z
591,1768092891,40651622,0x51950fd9caf0ef083ef6d8cd7daed4442414286505111e89e183d612efb3e518,466,2026-01-11T00:49:51Z
591,1768093073,40651713,0xf10869619c1b6a4d834b6fe312d94ca603c74c083619c814ea00e45946345120,612,2026-01-11T00:52:53Z
591,1768093309,40651831,0x52d92350082d1fcc79bb706ebb48eacd552c6f843311cdd87434ede4953cceb0,621,2026-01-11T00:56:49Z
591,1768093585,40651969,0x420d35d685fb60c04c1d5557f4576e2da55909be81691cd553a6f4282d2fde21,921,2026-01-11T01:01:25Z
592,1768180029,40695191,0xaa120542f24c5c850bba1978926cfb1e851ddf995d6d8721a699d44de1513d9a,1160,2026-01-12T01:02:09Z
592,1768180089,40695221,0x7f59af52bc309f10755f3e3589079504d2e80fa097c41f7e21f8859fe2384a70,1157,2026-01-12T01:03:09Z
595,1768439613,40824983,0x9d0a89571d1a52cf8c4fb8e8a5219cefdc7749b58bf24ded5cecd36c203e2919,1050,2026-01-15T01:08:33Z
595,1768439653,40825003,0x4bf65c0045c682cae9d2f2c53af535e45fb110a8c3f23bcadc6e0501cd3448d7,940,2026-01-15T01:09:13Z
