activity_day,created_auctions,bids,unique_bidders,bid_eth,settled_auctions,settled_eth
2026-05-28,1,3,3,0.022,1,0.011
2026-05-27,1,6,6,0.02567,1,0.011
2026-05-26,1,1,1,0.01,1,0.01
2026-05-25,0,1,1,0.01,0,0.0
2026-05-24,1,5,4,0.03107,1,0.01541
2026-05-23,1,8,5,0.05337,1,0.01465
2026-05-22,1,4,4,0.0489,1,0.0158
2026-05-21,1,7,6,0.05837,1,0.0165
2026-05-20,1,5,2,0.07433,1,0.01952
2026-05-19,1,5,3,0.05041,1,0.005
2026-05-18,1,1,1,0.005,1,0.016
2026-05-17,1,10,5,0.13093,1,0.01866
2026-05-16,1,7,6,0.04807,1,0.01331
2026-05-15,1,9,4,0.0842,1,0.013
2026-05-14,1,7,4,0.07616,1,0.01612
2026-05-13,1,6,5,0.06618,1,0.01331
2026-05-12,1,3,3,0.027985,1,0.0121
2026-05-11,1,7,5,0.05927,1,0.01091
2026-05-10,1,19,7,0.218578,1,0.0243
2026-05-09,1,6,3,0.02278,1,0.024
2026-05-08,1,11,5,0.20145,1,0.033
2026-05-07,1,6,6,0.0078,1,0.02265
2026-05-06,0,3,2,0.06195,0,0.0
2026-05-05,1,25,9,0.21021,1,0.02148
2026-05-04,1,5,4,0.08976,1,0.0286
2026-05-03,1,7,6,0.13405,1,0.02486
2026-05-02,1,10,4,0.18139,1,0.02645
2026-05-01,1,8,4,0.17166,1,0.02926
2026-04-30,1,6,4,0.11239,1,0.02483
2026-04-29,1,11,5,0.19086,1,0.02839
2026-04-28,1,6,4,0.09459,1,0.02398
2026-04-27,1,4,3,0.07946,1,0.02785
2026-04-26,1,6,5,0.13299,1,0.03371
2026-04-25,1,7,4,0.17786,1,0.0317
2026-04-24,1,2,2,0.04075,1,0.02694
2026-04-23,1,7,5,0.13325,1,0.02482
2026-04-22,1,5,4,0.08658,1,0.02254
2026-04-21,1,5,3,0.10333,1,0.02479
2026-04-20,1,3,3,0.07905,1,0.03255
2026-04-19,1,2,2,0.0425,1,0.02874
2026-04-18,1,13,7,0.26602,1,0.02721
2026-04-17,1,7,5,0.12845,1,0.03031
2026-04-16,1,6,5,0.14187,1,0.03046
2026-04-15,1,9,6,0.20317,1,0.03061
2026-04-14,1,2,2,0.0315,1,0.01684
2026-04-13,1,14,5,0.46014,1,0.05678
2026-04-12,1,3,3,0.07768,1,0.0321
2026-04-11,1,10,4,0.293008,1,0.04314
2026-04-10,1,6,4,0.12968,1,0.02708
2026-04-09,1,10,4,0.21531,1,0.03276
2026-04-08,1,9,6,0.17843,1,0.02976
2026-04-07,1,15,8,0.35256,1,0.04358
2026-04-06,1,9,5,0.18562,1,0.0333
2026-04-05,1,3,3,0.03104,1,0.01843
2026-04-04,1,7,4,0.07585,1,0.02027
2026-04-03,1,12,8,0.22562,1,0.03265
2026-04-02,1,8,5,0.19412,1,0.03589
2026-04-01,1,8,6,0.17707,1,0.02964
2026-03-31,1,1,1,0.01671,1,0.0267
2026-03-30,1,7,6,0.2272,1,0.04885
2026-03-29,1,7,4,0.21111,1,0.05135
2026-03-28,1,11,4,0.27863,1,0.03937
2026-03-27,1,17,9,0.384,1,0.061
2026-03-26,1,19,8,0.42113,1,0.05319
2026-03-25,1,10,4,0.29456,1,0.04835
2026-03-24,1,3,2,0.12553,1,0.06052
2026-03-23,1,10,3,0.46166,1,0.07333
2026-03-22,1,10,3,0.576412,1,0.11111
2026-03-21,1,17,3,0.95425,1,0.1298
2026-03-20,1,18,5,0.603,1,0.07324
2026-03-19,1,13,4,0.55202,1,0.1
2026-03-18,1,3,2,0.041,1,0.01
2026-03-17,1,3,3,0.026,1,0.011
2026-03-16,1,7,3,0.07891,1,0.0165
2026-03-15,1,7,2,0.07941,1,0.015
2026-03-14,1,4,3,0.02415,1,0.0121
2026-03-13,1,1,1,0.01,1,0.02
2026-03-12,1,7,4,0.08156,1,0.01465
2026-03-11,1,4,3,0.027,1,0.011
2026-03-10,1,13,7,0.1355,1,0.01798
2026-03-09,1,11,7,0.07199,1,0.00988
2026-03-08,1,20,7,0.17194,1,0.02103
2026-03-07,1,8,6,0.02702,1,0.0121
2026-03-06,1,15,9,0.0644,1,0.00874
2026-03-05,1,11,6,0.04059,1,0.01
2026-03-04,1,4,3,0.01639,1,0.0123
2026-03-03,1,11,4,0.10956,1,0.0138
2026-03-02,1,7,5,0.02774,1,0.00888
2026-03-01,1,7,5,0.05017,1,0.00807
2026-02-28,1,9,7,0.04078,1,0.00733
2026-02-27,1,13,7,0.03954,1,0.00733
2026-02-26,1,3,3,0.011,1,0.01
2026-02-25,1,2,2,0.021,1,0.011
2026-02-24,1,5,4,0.01234,1,0.01111
2026-02-23,1,2,1,0.02211,1,0.011
2026-02-22,1,4,3,0.05122,1,0.02222
2026-02-21,1,3,3,0.01105,1,0.01234
2026-02-20,1,3,3,0.04086,1,0.01494
2026-02-19,1,9,6,0.12995,1,0.02742
2026-02-18,1,4,4,0.06885,1,0.0269
2026-02-17,1,3,3,0.06212,1,0.0209
2026-02-16,1,12,5,0.16833,1,0.02492
2026-02-15,1,11,7,0.09837,1,0.02131
2026-02-14,1,12,6,0.21749,1,0.0286
2026-02-13,1,13,6,0.14317,1,0.01952
2026-02-12,1,12,5,0.17555,1,0.02363
2026-02-11,1,9,5,0.19315,1,0.03123
2026-02-10,1,8,4,0.13136,1,0.0242
2026-02-09,1,3,2,0.04074,1,0.01974
2026-02-08,1,10,5,0.15488,1,0.02222
2026-02-07,1,3,3,0.032,1,0.011
2026-02-06,1,4,3,0.02655,1,0.0242
2026-02-05,1,4,3,0.08436,1,0.01816
2026-02-04,1,31,8,0.70805,1,0.06666
2026-02-03,1,14,10,0.2646,1,0.05851
2026-02-02,1,19,11,0.55566,1,0.07468
2026-02-01,1,7,6,0.05631,1,0.07624
2026-01-31,1,4,3,0.28555,1,0.07701
2026-01-30,1,4,3,0.27573,1,0.10253
2026-01-29,1,3,3,0.23173,1,0.0802
2026-01-28,1,5,5,0.307,1,0.0968
2026-01-27,1,24,12,0.90798,1,0.085
2026-01-26,1,27,13,0.25619,1,0.08073
2026-01-25,1,34,17,0.97629,1,0.1359
2026-01-24,1,19,9,0.28081,1,0.18232
2026-01-23,1,7,6,0.71955,1,0.19818
2026-01-22,1,7,6,0.77843,1,0.18
2026-01-21,1,12,4,1.56086,1,0.23692
2026-01-20,1,10,6,0.80077,1,0.2046
2026-01-19,1,2,2,0.111,1,0.21805
2026-01-18,1,4,3,0.60647,1,0.19812
2026-01-17,1,8,5,0.43055,1,0.1947
2026-01-16,1,23,12,1.35451,1,0.17441
2026-01-15,1,37,13,1.66818,1,0.15691
2026-01-14,1,23,17,0.25427,1,0.15974
2026-01-13,1,5,5,0.50021,1,0.14301
2026-01-12,1,14,5,1.37304,1,0.16
2026-01-11,1,12,6,1.82073,1,0.3021
2026-01-10,1,25,11,1.92082,1,0.16455
2026-01-09,1,52,20,0.88452,0,0.0
