chain_id,contract_address,block_number,block_hash,tx_hash,tx_index,log_index,block_time_utc,dog_id,bidder,value_raw,value_display_native,display_decimals_confidence,extended,source_confidence,run_id
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26615673,0x50218566fc28cd942f105ee5a20d49c8d522707486c5172af979a9473bde41e9,0xddb9effe472f73c32019a3419248528ead92bbd785090c9cb54abcdcf2524d37,1,0,2026-01-01T22:50:28Z,585,0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,16666000000000000000000,16666,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26615567,0x26b9a17f662544297432163063a82a36fc950f947f900cfb8e10120582803c0b,0x04669f94b99beeb24f029f4584b53d92e98a4c6b1d6d11dc3edeb02750994798,1,0,2026-01-01T20:06:36Z,585,0xcfc162ca64a2b993dcc7001dca3f23f718e6dcc2,1346000000000000000000,1346,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26615457,0x611994a7cc192e620758938905800d3136fb798c2d2c0703e24d4b20505b5eee,0xb8dcd59c706563dcfa709c04d61238c4a282521e50a66501670d27abddf423b2,1,0,2026-01-01T17:36:40Z,585,0xa62449301059cf00edb96f4c03acc6aa3b326c30,1223000000000000000000,1223,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26615299,0x9c88a0d511df77b7db6a6720442061d8806df4bbb40f3480eac6ab1270080b19,0x9777ee4be568fb9e74f81b6b0414d64534b75d3b616beba93876f6830a9447ce,1,0,2026-01-01T13:56:08Z,585,0xbb672bbe37c259e7d22b250d6f1310161eefaece,1111000000000000000000,1111,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26614941,0xbc4dd17544a0a21e79b6cb6b18dcde1f591d855e0ebdd3b6f7afe8071a3d3e47,0xa4dd527836b4b733890c19e4604be48b0726eb0308ef161d0ff99a1dfc8745ff,1,0,2026-01-01T03:53:24Z,584,0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,16666000000000000000000,16666,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26613778,0x07be252a56bd197f0749ecadb3f50d6504ebb20d2bc02bf3eebd61378c46e5eb,0x11b288dba0a7fa49ee9cc0565bfc6d41ff1851e100f94a58940ee72acf15626b,1,0,2025-12-31T07:46:20Z,583,0x409538216575caefe49af5af9b12ef4b4496041b,22184000000000000000000,22184,verified_wdegen_18_decimals,1,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26613773,0x50baaa410de16d1e0e04707765dacc49fd26ce3e35ad66245fc0b992180b1a58,0x7a5934ceb95a277d245687582547b5a6f7d6308bfc7b38532f6129cf622fb203,1,0,2025-12-31T07:43:56Z,583,0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,20167000000000000000000,20167,verified_wdegen_18_decimals,1,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26613760,0x58d7b14eb1711b663052827affdc88465152461ba7ea286aff52e3805a5024e9,0xd0bcb2728cc30e99d321281f7887312aa1c2c4b967e40bc2131350023efa99d4,1,0,2025-12-31T07:25:50Z,583,0x409538216575caefe49af5af9b12ef4b4496041b,18333000000000000000000,18333,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26613436,0x58fa8e5eba25bafd1d2b6c37c87ee37b74f506546d8f3b7f4612f7d11e5fd4d4,0xd80a36f3a14a5cf65bef1e5a4e07213500e75cb236fb0699751b92425a80ca68,1,0,2025-12-31T00:43:09Z,583,0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,16666000000000000000000,16666,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26612550,0xe9ec692b63636f01bb481171e6be38e04c4d496fd0489f79932775ec1dd7b669,0x0a042e51a4844b37d4c238ad3f943eb2d93111a9e9ca725c956ce4bc462f04e3,1,0,2025-12-30T07:26:08Z,582,0x409538216575caefe49af5af9b12ef4b4496041b,26622000000000000000000,26622,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26612546,0x2a64f91a132a53f85fffa73a7f76adb11b891101f3b3888cae1f0c6737446865,0x8122d4ed1587f813c9a41958db689c8a17d7ac2f6ac07d4dfbd546ac7efe4fb0,1,0,2025-12-30T07:20:28Z,582,0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,24201000000000000000000,24201,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26612438,0x73ce2048f90bf1935f06436314262be6ff87e91ff03d5d3c9a9389d992779553,0x51dbda9818652e1daf3eefb0dc636f2243e9e122350b85d3330e06b17cefdd2b,1,0,2025-12-30T05:11:29Z,582,0x409538216575caefe49af5af9b12ef4b4496041b,22000000000000000000000,22000,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26612435,0x7f155faf0b58d18e1080c75b19b67d37bbd43bc88eea0046903b5b3f58ee0439,0x189e0db1c3582389f361cd317b186d16c969f295656364f3e55a914e2bcda409,1,0,2025-12-30T05:07:04Z,582,0xc7aab24ede583b0dc9041343ae51466bb86a1ab7,20000000000000000000000,20000,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26611714,0x7c1ccb5230771613503d2429e480b210127c617d8c48232159799dc441fff555,0x083684c926d9e9b0502e93bf77c37d4f2907a3316138f0ab0432882e99f2fe67,1,0,2025-12-29T16:06:06Z,582,0x76d0e7a13248945ee9f808b4a472262b28778942,11582000000000000000000,11582,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26611192,0x4bf0ad785c32444739b4fa63ac004cb4edc05edaca706074bd6805f89fb6951b,0xa8c063b381d72b93942b6a0c4cc313fa94151e0489afdd81846ba03a5127b436,1,0,2025-12-29T07:25:39Z,581,0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,15595000000000000000000,15595,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26611064,0x77456463b8d41cfa22e7528a5bc0ec76ee767e4eaddef6c80f495b047d917d3f,0x9d5038772a47ade3c6a3312ebd3eb3c2b0f19b37f9cc9d69b422da31ef5bd41d,1,0,2025-12-29T05:04:17Z,581,0x409538216575caefe49af5af9b12ef4b4496041b,14177000000000000000000,14177,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26610813,0xc890d7a3b455375340029e108607b35f5b7f03696e8d8d06e3a9233d2adad3c2,0xf1992504cd5307c146e52ccc0a1e40c46f847b8b9ef6a063b4609d140ced7206,1,0,2025-12-29T01:04:17Z,581,0x8e5caf3f39b83dbc7663f7fc2b929e21d55482af,12888000000000000000000,12888,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26610221,0xf7901112fe51e7e02faf1b89183687dc1e89e359adc9c646361ac2bfa3639292,0x863abeddcdbb78faf812948503d4fc5241d4163b5f416addfe5575316cf6c8f6,1,0,2025-12-28T10:56:07Z,581,0x76d0e7a13248945ee9f808b4a472262b28778942,11581000000000000000000,11581,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26610091,0x38a1ff5bb114ade325a78d26b12260db8eb2e68bcfdae8c0a1b056242f27fa84,0xc9fd9680268c122f9a56ced09d8fbc283a5b344fd96ab91dd0cd0500e3d55bd3,1,0,2025-12-28T07:32:37Z,580,0xc421401af43d217d8bf16f18ffd076f3c84219d9,33611000000000000000000,33611,verified_wdegen_18_decimals,1,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26610085,0x972c6491620c5714d0bdfda198d6ddc808afffecdf91e6b8f5d6544569e77ac5,0xb76cea90e4011ea913f46a58c40c8b222884b51bdc4a216d2e5bd72698c2aae8,1,0,2025-12-28T07:27:52Z,580,0x409538216575caefe49af5af9b12ef4b4496041b,30555000000000000000000,30555,verified_wdegen_18_decimals,1,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26610082,0x907a632d85b62bc44f04ed79006eae6ddf96768b087e1bf589b0c77e1d7d0766,0x0888c500d505db162df6f6375d079300ed4e31004f91763b16b652ff0e0349f3,1,0,2025-12-28T07:23:02Z,580,0xc421401af43d217d8bf16f18ffd076f3c84219d9,27777000000000000000000,27777,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26610068,0x0c46c10bcd9128c949b344f67e6914de12445fc311329d178cec4bd73c666c0a,0x0a58e042644b6a94fc71295e28d161895c89a2ab003313e23833062bfeb1345f,1,0,2025-12-28T06:57:08Z,580,0x409538216575caefe49af5af9b12ef4b4496041b,24445000000000000000000,24445,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26609431,0x5d8878c70564480a956a6d73b33edc0c230c2bb5afeeb5d3e02980c8435f2e85,0x25ba7e779c4c4341387df3580430b946137ad4bfb1fd04a93b3a0e7c946cb06a,1,0,2025-12-27T14:54:01Z,580,0xc421401af43d217d8bf16f18ffd076f3c84219d9,22222000000000000000000,22222,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26609325,0xb21d55f7fa13501166671df87721dfa3fd8d2684507d9d065a7735e677c3dcc0,0x424597dddb2ab4e4c9ea1ad74fdf7148da1d8abbc350a80d8059dcff0fdb6a6c,1,0,2025-12-27T12:24:24Z,580,0x76d0e7a13248945ee9f808b4a472262b28778942,11580000000000000000000,11580,verified_wdegen_18_decimals,0,verified_onchain,mission2_24692180_26823905_20260529T001926Z
666666666,0x3620ca030a023bce87ec59a8b0e979bd7607fdbd,26609134,0x4205733f31fd15a1f426e4199baead5f9e04c9f25cb1c22a9ae63d940fdfed28,0x2f6313644104e51e73bc7ec999d7f201987c19efccc91e756a54d5f7eb593a4f,1,0,2025-12-27T07:22:55Z,579,0xc421401af43d217d8bf16f18ffd076f3c84219d9,17777000000000000000000,17777,verified_wdegen_18_decimals,1,verified_onchain,mission2_24692180_26823905_20260529T001926Z
