bid_time_utc,token_id,dog,bidder,bidder_url,bidder_wallet,bid,bid_eth,bid_usd,eth_usd_price_live,eth_usd_price_date_utc,usd_estimate_source,usd_estimate_source_detail,usd_estimate_confidence,usd_estimate_basis,extended,block_number,log_index,tx_hash
2026-06-24 20:27:43,753,Dog #753,@pare,https://farcaster.xyz/pare,0xd1ab146981d50adcfe18433500e852af396ea7b1,0.01210 ETH ($20),0.0121,19.5,1611.68,2026-06-24,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47771758,240,0x54aa55591ac74146473ef2d5d621865321f7928f26b3ae67b0ee5d8d2eda11f5
2026-06-24 18:40:13,753,Dog #753,@thec1,https://farcaster.xyz/thec1,0xd29c790466675153a50df7860b9efdb689a21cde,0.01100 ETH ($18),0.011,17.73,1611.68,2026-06-24,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47768533,342,0x2f61684beb99179ea6c895ee58d168379617a2b9fa6f0c1e5094ec16435b3804
2026-06-24 11:52:01,753,Dog #753,@0xael.eth,https://farcaster.xyz/0xael.eth,0x76d0e7a13248945ee9f808b4a472262b28778942,0.01000 ETH ($16),0.01,16.12,1611.68,2026-06-24,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47756287,95,0xb5d6ae32d5c4bf1bcb55f77b04fd11727a7fcfdcef857fb19e57cf5831185ea2
2026-06-24 11:45:35,753,Dog #753,@cryptomill,https://farcaster.xyz/cryptomill,0x71ce5605ab649d97446ef179bc2983b18ddc9a48,0.00220 ETH ($4),0.0022,3.55,1611.68,2026-06-24,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47756094,282,0x8aab32fcfd724e65dcd0ab4c74cf4a1dac96dd194733b013d32a466052738c28
2026-06-24 03:57:09,753,Dog #753,@cctv1,https://farcaster.xyz/cctv1,0xbdd8f7ceae7fbfb25bd5615ad3c2608404f6bb72,0.00200 ETH ($3),0.002,3.22,1611.68,2026-06-24,current_eth_usd_price,coinbase,live_current,current_auction_bid_history_live_eth_usd,0,47742041,258,0xffef26d2de7069bf1ede469d0e1e805f4bc560fcf0f51cc3f2d565460dfc0907
