mission,chain,dogs,auctions_or_records,settled,live_or_unsettled,metadata_only,bid_count,unique_winners_or_high_bidders,first_auction_utc,latest_activity_utc,amount_note,confidence
all,All missions,803,783,762,2,20,3769,155,2022-03-14T14:01:34Z,2026-08-14 13:13:09,Per-Dog final/high bid is in historical_dog_search.amount; currencies differ by mission.,combined archived indexes + live Base dashboard metadata
1,Polygon,201,201,181,1,0,545,55,2022-03-14T14:01:34Z,2023-11-11T14:01:42Z,Per-Dog final/high bid is in historical_dog_search.amount; currencies differ by mission.,combined archived indexes + live Base dashboard metadata
2,Degen Chain,389,369,369,0,20,1630,55,2024-11-25T15:45:09Z,2026-01-06T14:35:57Z,Per-Dog final/high bid is in historical_dog_search.amount; currencies differ by mission.,combined archived indexes + live Base dashboard metadata
3,Base,213,213,212,1,0,1594,56,2026-01-09 00:34:31,2026-08-13 22:44:23,Per-Dog final/high bid is in historical_dog_search.amount; currencies differ by mission.,combined archived indexes + live Base dashboard metadata
