token_id,end_time_utc,block_number,tx_hash,log_index
590,2026-01-10 00:38:07,40607920,0xe1e08a04a95c2c587bdbe046a715764d45f005eb66302227bf869412983300a8,265
590,2026-01-10 00:38:19,40607926,0x1abeb87f6ed9bc81d3df14d0a920a572fc7552bf1399700814d3b645ca1db6bd,32
590,2026-01-10 00:43:09,40608071,0x1bfd3e67e9bdbd5438f7028740d75c3013ef8ffa23db6ef3d99f780ac39c1728,1207
590,2026-01-10 00:43:19,40608076,0xe3f96d4636c478d26772e195cbb29fd302856c1b54e6b14fcf4e9375f678f8fa,184
591,2026-01-11 00:47:35,40651404,0x9826ab5e682478537c6e877c5b221806a59d80b12e7d29950d60fcc8266465fe,656
591,2026-01-11 00:49:55,40651474,0x74d9c143d37aa7c479d383df7b55cc918c8c8064a54c8e3eede41932790bc231,845
591,2026-01-11 00:52:51,40651562,0x268489677a60f522a1f1ca2557a834fb0ef8738cab489232b8367dbf2e8f0942,531
591,2026-01-11 00:54:51,40651622,0x51950fd9caf0ef083ef6d8cd7daed4442414286505111e89e183d612efb3e518,466
591,2026-01-11 00:57:53,40651713,0xf10869619c1b6a4d834b6fe312d94ca603c74c083619c814ea00e45946345120,612
591,2026-01-11 01:01:49,40651831,0x52d92350082d1fcc79bb706ebb48eacd552c6f843311cdd87434ede4953cceb0,621
591,2026-01-11 01:06:25,40651969,0x420d35d685fb60c04c1d5557f4576e2da55909be81691cd553a6f4282d2fde21,921
592,2026-01-12 01:07:09,40695191,0xaa120542f24c5c850bba1978926cfb1e851ddf995d6d8721a699d44de1513d9a,1160
592,2026-01-12 01:08:09,40695221,0x7f59af52bc309f10755f3e3589079504d2e80fa097c41f7e21f8859fe2384a70,1157
595,2026-01-15 01:13:33,40824983,0x9d0a89571d1a52cf8c4fb8e8a5219cefdc7749b58bf24ded5cecd36c203e2919,1050
595,2026-01-15 01:14:13,40825003,0x4bf65c0045c682cae9d2f2c53af535e45fb110a8c3f23bcadc6e0501cd3448d7,940
596,2026-01-16 01:19:31,40868362,0xdf55944b193e1617f401a9b001bff0e3dba25d6b79d417af6d0d586557bcdfaf,1408
596,2026-01-16 01:20:01,40868377,0xa027c7cec6c5742cebaecd980130b94fea41771ad24b8a2d2203d4c4f66f8fb6,982
596,2026-01-16 01:24:39,40868516,0xc788d714d5e02d4bb03c92cf3e3deca4d9f1f6c48697b8c5e7ca94db7c0cff7f,840
600,2026-01-20 01:30:33,41041493,0xca4aafcc2e28ec4373ee33a9ba696eab794d189a36f3c2e83b410e13631dd04e,724
600,2026-01-20 01:31:51,41041532,0xa1225bb58bf79e3d84d259f98c90e7625cc82bf583495b0da99f02eb3e8dbfb3,354
601,2026-01-21 01:35:53,41084853,0xa87de4e8215a6556a5a3d75e0ea95bbfabd47a4a1e89c0d50a61ee892f216895,708
601,2026-01-21 01:36:21,41084867,0x274b787be1e02982822e4fc40d68061d5ff339cd07c52ec67e06ff0ac86ca507,662
601,2026-01-21 01:36:53,41084883,0x5386a6a281ecadbb0531e59873c05166f274d96794995c9c2d14ffca7448cda4,457
601,2026-01-21 01:37:15,41084894,0x0f71efbc27b065cd539cff1c963c3fe339efd2d7ecb76a34b48a1e988aeb241e,546
601,2026-01-21 01:38:49,41084941,0x9fbff547d258c221b99e19aa9eb423c4d3ce8fad4148050d6558d29f6ff5c762,810
601,2026-01-21 01:40:51,41085002,0x3e09a8de3987eef930829a4e0ed2b06a4f8f295c24f0fc19757680655efa9c59,825
601,2026-01-21 01:45:01,41085127,0x50684fd0377908e6ee47dc4e78d260fb638929e75d349a4a49713f1d80e32e71,874
605,2026-01-25 01:53:49,41258191,0x9f0acc6e8b8ceac81703457f5d91606d32913fff0808acd5785c13914c1f449e,1210
605,2026-01-25 01:54:37,41258215,0xd791db6619870b62041f268eabcf1b304bb8d469df3c62260836072964da1c20,662
605,2026-01-25 01:55:51,41258252,0xbaee92aee864ed108c1fb957512d078f78fb6e1badc5104e4865a3d5f76fb23a,794
605,2026-01-25 01:56:41,41258277,0x2f63a3e4dd6c6fdf51a100e9a5b81da2f4bc17062a21d9dd4e29839a7cab85cc,950
605,2026-01-25 02:00:13,41258383,0xc5aefac3a7466a7c37c0006542fc36c93ce687a4d4042c3a7c6aabc0ecce454f,569
605,2026-01-25 02:04:23,41258508,0xbdf51dba8abb8ede029ba3287b75d0f10831b4062fa16b100e76b0d2b3aecd33,772
607,2026-01-27 02:11:39,41345126,0x31a89329df5bb9de30b2193c36094fa4eacd82495c634ff69b9364633971e17c,321
607,2026-01-27 02:13:15,41345174,0xf60785521ff8c6811d01fe82b322da671c82bfabb2d7b1c870a1c53a0474e84a,930
607,2026-01-27 02:14:13,41345203,0xbd761ffcd8f77802d4ef952b77f729b2caf844c3e67faf666e90a3df3d03df84,366
607,2026-01-27 02:15:17,41345235,0x3b409797881a2d88ee5cf1083016e57db844b96648d46e0260e67cf5744480d4,946
607,2026-01-27 02:16:27,41345270,0x924cea12262750d466fa7fd4dcaf0c87a5384afc738ec270cc7b4ae3acc565ae,1246
607,2026-01-27 02:16:49,41345281,0x48ec61361086efd2c723bb5d2a952f1aa712cb4adf98f6cc15e7d479926a73aa,331
607,2026-01-27 02:17:19,41345296,0x2a26e3d8310f6a36650cb8a355b330829ed63161cd8ba9a3c0188989d5f7beff,923
607,2026-01-27 02:19:19,41345356,0x25bfadc9fb3ad985d560c1663559d415b99745920fe910eb6e6e1c06ff99e453,397
607,2026-01-27 02:21:25,41345419,0x306c9ee6658307517d192f6c80a33d079f5012d79a6d6ed5b01bb0608fea040b,65
607,2026-01-27 02:22:21,41345447,0x79519dc81c4c867663b8fa439b92d6152d81e74f162f41b81dc7c16ad2fc0825,579
607,2026-01-27 02:24:09,41345501,0x78613f2d5a5236358f96e3f2ce842fbe5991aa906b74c8a75a54ebd531efc7de,624
607,2026-01-27 02:25:53,41345553,0xd3d056ea6b8c04589356456de99ec3035b930aa0a9ca663df6fdf8ed7949f0b8,1155
608,2026-01-28 02:30:49,41388901,0xf674f718110d2ac280010fcb7f86283b2e44a132ceb6b5255a12ad0343c4f19b,263
610,2026-01-30 02:42:27,41475650,0x10a00fbe58a4bad4c7c4f55c96bef863cc98939e5892a42657221bab57edb0ba,265
